diff_in_best_reward	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
0.010000	0.969999	0.999999	0.999999	0.999999	0.999999	0.790000
0.050000	0.590000	0.950000	1.000000	1.000000	1.000000	0.060000
0.100000	0.030000	0.110000	0.960000	0.140000	1.000000	0.000000
0.150000	0.000000	0.000000	0.959999	0.000000	0.999999	0.000000
0.200000	0.000000	0.000000	0.960000	0.000000	1.000000	0.000000
0.250000	0.000000	0.000000	0.980000	0.000000	1.000000	0.000000
0.300000	0.000000	0.000000	0.969999	0.000000	0.999999	0.000000
0.350000	0.000000	0.000000	0.910001	0.000000	1.000000	0.000000
0.400000	0.000000	0.000000	0.950000	0.000000	1.000000	0.000000
0.450000	0.000000	0.000000	0.950001	0.000000	1.000001	0.000000
