exploration_budget	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
500.000000	0.989999	0.989999	0.999999	0.999999	0.999999	0.969999
1000.000000	0.989999	0.999999	0.999999	0.999999	0.999999	0.869999
2500.000000	0.999999	0.999999	0.999999	0.999999	0.999999	0.670000
5000.000000	0.969999	0.999999	0.999999	0.999999	0.999999	0.390000
7500.000000	0.919999	0.999999	0.999999	0.999999	0.999999	0.280000
10000.000000	0.879999	0.849999	0.989999	0.999999	0.999999	0.180000
12500.000000	0.799999	0.740000	0.999999	0.999999	0.999999	0.040000
15000.000000	0.710000	0.750000	0.999999	0.999999	0.999999	0.030000
20000.000000	0.630000	0.740000	0.989999	0.999999	0.999999	0.000000
25000.000000	0.410000	0.839999	0.999999	0.999999	0.999999	0.000000
