num_intermediate_contexts	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
2	0.000000	0.000000	0.171000	0.000000	0.288000	0.000000
4	0.000000	0.000000	0.267000	0.015000	0.297000	0.000000
6	0.000000	0.003000	0.294000	0.039000	0.300000	0.000000
8	0.000000	0.060000	0.300000	0.057000	0.300000	0.000000
10	0.027000	0.093000	0.300000	0.078000	0.300000	0.000000
12	0.051000	0.129000	0.300000	0.243000	0.300000	0.000000
14	0.111000	0.147000	0.300000	0.276000	0.300000	0.000000
16	0.186000	0.192000	0.300000	0.276000	0.300000	0.000000
18	0.228000	0.243000	0.300000	0.291000	0.300000	0.000000
20	0.261000	0.222000	0.300000	0.300000	0.300000	0.000000
25	0.300000	0.300000	0.300000	0.300000	0.300000	0.000000
50	0.300000	0.300000	0.300000	0.300000	0.300000	0.009000
100	0.300000	0.300000	0.300000	0.300000	0.300000	0.156000
