diff_in_best_reward	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
0.010000	0.929999	0.999999	0.989999	0.999999	0.999999	0.879999
0.050000	0.590000	0.970000	0.970000	1.000000	1.000000	0.070000
0.100000	0.070000	0.090000	0.980000	1.000000	1.000000	0.000000
0.150000	0.000000	0.000000	0.979999	0.999999	0.999999	0.000000
0.200000	0.000000	0.000000	0.940000	1.000000	1.000000	0.000000
0.250000	0.000000	0.000000	0.920000	0.960000	1.000000	0.000000
0.300000	0.000000	0.000000	0.869999	0.869999	0.999999	0.000000
0.350000	0.000000	0.000000	0.890001	0.780001	1.000000	0.000000
0.400000	0.000000	0.000000	0.890000	0.750000	1.000000	0.000000
0.450000	0.000000	0.000000	0.840001	0.530000	1.000001	0.000000
