exploration_budget	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
100.000000	0.969999	0.959999	0.979999	0.999999	0.999999	0.859999
250.000000	0.909999	0.929999	0.979999	0.999999	0.999999	0.670000
500.000000	0.820000	0.899999	0.959999	0.989999	0.999999	0.720000
1000.000000	0.520000	0.640000	0.939999	0.999999	0.999999	0.420000
2500.000000	0.230000	0.360000	0.949999	0.999999	0.999999	0.200000
5000.000000	0.030000	0.110000	0.939999	0.999999	0.999999	0.120000
7500.000000	0.000000	0.010000	0.869999	0.999999	0.999999	0.010000
10000.000000	0.000000	0.000000	0.919999	0.999999	0.999999	0.020000
12500.000000	0.000000	0.000000	0.909999	0.999999	0.999999	0.000000
15000.000000	0.000000	0.000000	0.889999	0.989999	0.999999	0.000000
20000.000000	0.000000	0.000000	0.939999	0.829999	0.999999	0.000000
25000.000000	0.000000	0.000000	0.919999	0.939999	0.999999	0.000000
100000.000000	0.000000	0.000000	0.979999	0.919999	0.999999	0.000000
