exploration_budget	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
100.000000	0.999999	0.999999	0.999999	0.999999	0.999999	0.869999
250.000000	0.989999	0.949999	0.959999	0.999999	0.999999	0.440000
500.000000	0.710000	0.540000	0.969999	0.989999	0.999999	0.160000
1000.000000	0.400000	0.320000	0.959999	0.790000	0.999999	0.020000
2500.000000	0.020000	0.100000	0.959999	0.200000	0.999999	0.000000
5000.000000	0.000000	0.040000	0.939999	0.130000	0.999999	0.000000
7500.000000	0.000000	0.010000	0.959999	0.100000	0.999999	0.000000
10000.000000	0.000000	0.000000	0.929999	0.080000	0.999999	0.000000
12500.000000	0.000000	0.000000	0.909999	0.060000	0.999999	0.000000
15000.000000	0.000000	0.000000	0.929999	0.060000	0.999999	0.000000
20000.000000	0.000000	0.000000	0.939999	0.000000	0.999999	0.000000
25000.000000	0.000000	0.000000	0.959999	0.000000	0.999999	0.000000
100000.000000	0.000000	0.000000	0.969999	0.000000	0.999999	0.000000
