num_intermediate_contexts	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
2.000000	0.000000	0.000000	0.570000	0.000000	0.929999	0.000000
4.000000	0.000000	0.000000	0.869999	0.080000	0.999999	0.000000
6.000000	0.000000	0.030000	0.999999	0.170000	0.999999	0.000000
8.000000	0.000000	0.140000	0.999999	0.320000	0.999999	0.000000
10.000000	0.050000	0.270000	0.999999	0.400000	0.999999	0.000000
12.000000	0.250000	0.440000	0.999999	0.799999	0.999999	0.000000
14.000000	0.450000	0.540000	0.999999	0.939999	0.999999	0.000000
16.000000	0.660000	0.700000	0.999999	0.919999	0.999999	0.000000
18.000000	0.720000	0.829999	0.999999	0.969999	0.999999	0.000000
20.000000	0.889999	0.710000	0.999999	0.999999	0.999999	0.000000
25.000000	0.999999	0.999999	0.999999	0.999999	0.999999	0.010000
50.000000	0.999999	0.999999	0.999999	0.999999	0.999999	0.050000
100.000000	0.999999	0.999999	0.999999	0.999999	0.999999	0.500000
