exploration_budget	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
500.000000	0.984000	0.992000	0.994000	1.000000	1.000000	0.950000
1000.000000	1.000000	1.000000	0.998000	1.000000	1.000000	0.892000
2500.000000	1.000000	0.990000	0.994000	1.000000	1.000000	0.670000
5000.000000	0.988000	1.000000	0.996000	1.000000	1.000000	0.384000
7500.000000	0.942000	0.984000	0.996000	1.000000	1.000000	0.238000
10000.000000	0.910000	0.796000	0.998000	1.000000	1.000000	0.120000
12500.000000	0.816000	0.792000	0.992000	1.000000	1.000000	0.056000
15000.000000	0.746000	0.798000	0.998000	1.000000	1.000000	0.044000
20000.000000	0.590000	0.792000	0.992000	1.000000	1.000000	0.008000
25000.000000	0.480000	0.772000	1.000000	1.000000	1.000000	0.004000
