exploration_budget	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
500.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.940000
1000.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.560000
2500.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.220000
5000.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.010000
7500.000000	0.970000	1.000000	1.000000	1.000000	1.000000	0.000000
10000.000000	0.850000	0.700000	1.000000	1.000000	1.000000	0.000000
12500.000000	0.830000	0.730000	1.000000	0.990000	1.000000	0.000000
15000.000000	0.690000	0.720000	1.000000	0.980000	1.000000	0.000000
20000.000000	0.560000	0.710000	1.000000	0.980000	1.000000	0.000000
25000.000000	0.400000	0.760000	1.000000	0.940000	1.000000	0.000000
