exploration_budget	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
100.000000	0.970000	0.970000	0.980000	1.000000	1.000000	0.860000
250.000000	0.910000	0.940000	0.980000	1.000000	1.000000	0.640000
500.000000	0.860000	0.810000	0.970000	1.000000	1.000000	0.640000
1000.000000	0.640000	0.630000	0.960000	0.990000	1.000000	0.460000
2500.000000	0.150000	0.340000	0.960000	1.000000	1.000000	0.150000
5000.000000	0.010000	0.160000	0.940000	1.000000	1.000000	0.060000
7500.000000	0.010000	0.000000	0.990000	1.000000	1.000000	0.040000
10000.000000	0.000000	0.000000	0.940000	1.000000	1.000000	0.010000
12500.000000	0.000000	0.000000	0.900000	1.000000	1.000000	0.000000
15000.000000	0.000000	0.000000	0.920000	0.990000	1.000000	0.000000
20000.000000	0.000000	0.000000	0.910000	0.750000	1.000000	0.000000
25000.000000	0.000000	0.000000	0.900000	0.870000	1.000000	0.000000
100000.000000	0.000000	0.000000	0.960000	0.900000	1.000000	0.000000
