exploration_budget	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
100.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.840000
250.000000	0.970000	0.960000	0.980000	1.000000	1.000000	0.390000
500.000000	0.620000	0.550000	0.980000	0.990000	1.000000	0.070000
1000.000000	0.370000	0.360000	0.950000	0.840000	1.000000	0.000000
2500.000000	0.030000	0.090000	0.960000	0.190000	1.000000	0.000000
5000.000000	0.000000	0.030000	0.960000	0.130000	1.000000	0.000000
7500.000000	0.000000	0.010000	0.950000	0.230000	1.000000	0.000000
10000.000000	0.000000	0.000000	0.940000	0.060000	1.000000	0.000000
12500.000000	0.000000	0.000000	0.970000	0.050000	1.000000	0.000000
15000.000000	0.000000	0.000000	0.970000	0.030000	1.000000	0.000000
20000.000000	0.000000	0.000000	0.930000	0.000000	1.000000	0.000000
25000.000000	0.000000	0.000000	0.950000	0.000000	1.000000	0.000000
100000.000000	0.000000	0.000000	0.960000	0.000000	1.000000	0.000000
