num_intermediate_contexts	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
2.000000	0.000000	0.000000	0.560000	0.600000	0.950000	0.010000
4.000000	0.000000	0.000000	0.870000	0.940000	1.000000	0.010000
6.000000	0.000000	0.020000	0.930000	1.000000	1.000000	0.020000
8.000000	0.000000	0.300000	0.980000	1.000000	1.000000	0.000000
10.000000	0.080000	0.510000	0.980000	1.000000	1.000000	0.040000
12.000000	0.200000	0.560000	0.990000	1.000000	1.000000	0.050000
14.000000	0.470000	0.690000	1.000000	1.000000	1.000000	0.090000
16.000000	0.700000	0.770000	1.000000	1.000000	1.000000	0.090000
18.000000	0.800000	0.700000	1.000000	1.000000	1.000000	0.110000
20.000000	0.870000	0.810000	1.000000	1.000000	1.000000	0.110000
25.000000	0.970000	0.980000	1.000000	1.000000	1.000000	0.160000
50.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.440000
100.000000	1.000000	1.000000	0.990000	1.000000	1.000000	0.860000
