num_intermediate_contexts	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
2.000000	0.000000	0.000000	0.670000	0.000000	0.890000	0.000000
4.000000	0.000000	0.000000	0.930000	0.090000	1.000000	0.000000
6.000000	0.000000	0.020000	0.990000	0.150000	1.000000	0.000000
8.000000	0.010000	0.180000	1.000000	0.250000	1.000000	0.000000
10.000000	0.050000	0.290000	1.000000	0.390000	1.000000	0.000000
12.000000	0.150000	0.440000	1.000000	0.810000	1.000000	0.000000
14.000000	0.490000	0.520000	1.000000	0.930000	1.000000	0.000000
16.000000	0.670000	0.630000	1.000000	0.940000	1.000000	0.000000
18.000000	0.870000	0.770000	1.000000	0.980000	1.000000	0.000000
20.000000	0.890000	0.630000	1.000000	1.000000	1.000000	0.000000
25.000000	0.990000	1.000000	1.000000	1.000000	1.000000	0.000000
50.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.060000
100.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.500000
