diff_in_best_reward	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
0.010000	0.000000	0.000000	0.066720	0.028440	0.080400	0.000000
0.050000	0.000000	0.000000	0.072420	0.032100	0.078600	0.000000
0.100000	0.000000	0.000000	0.073020	0.028080	0.081600	0.000000
0.150000	0.000000	0.000000	0.076800	0.029280	0.076200	0.000000
0.200000	0.000000	0.000000	0.073260	0.028140	0.081600	0.000000
0.250000	0.000000	0.000000	0.067080	0.027840	0.080400	0.000000
0.300000	0.000000	0.000000	0.077100	0.029340	0.078600	0.000000
0.350000	0.000000	0.000000	0.072360	0.030120	0.078000	0.000000
0.400000	0.000000	0.000000	0.072720	0.031920	0.078600	0.000000
0.450000	0.000000	0.000000	0.074820	0.030960	0.078000	0.000000
