diff_in_best_reward	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
0.010000	0.009700	0.010000	0.010000	0.009920	0.009900	0.007900
0.050000	0.029500	0.047500	0.050000	0.049000	0.048900	0.003000
0.100000	0.005000	0.011000	0.099000	0.013000	0.098000	0.000000
0.150000	0.000000	0.000000	0.148500	0.000000	0.148500	0.000000
0.200000	0.000000	0.000000	0.192000	0.000000	0.198000	0.000000
0.250000	0.000000	0.000000	0.245000	0.000000	0.246500	0.000000
0.300000	0.000000	0.000000	0.291000	0.000000	0.295200	0.000000
0.350000	0.000000	0.000000	0.325500	0.000000	0.340200	0.000000
0.400000	0.000000	0.000000	0.380000	0.000000	0.393600	0.000000
0.450000	0.000000	0.000000	0.427500	0.000000	0.440100	0.000000
