exploration_budget	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
500.000000	0.042510	0.042510	0.043350	0.042150	0.043350	0.038220
1000.000000	0.043065	0.043365	0.042645	0.043365	0.043500	0.039060
2500.000000	0.042810	0.043230	0.042810	0.043500	0.043500	0.032160
5000.000000	0.042660	0.042195	0.042960	0.043500	0.043350	0.025320
7500.000000	0.040605	0.043365	0.042660	0.043500	0.043500	0.015060
10000.000000	0.040755	0.040620	0.042660	0.043350	0.043500	0.008580
12500.000000	0.040350	0.041760	0.043230	0.042765	0.043500	0.006780
15000.000000	0.038010	0.042195	0.043095	0.042930	0.043500	0.002205
20000.000000	0.037605	0.041760	0.043500	0.043200	0.043350	0.000000
25000.000000	0.032790	0.042630	0.043095	0.042900	0.043500	0.000000
