exploration_budget	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
500.000000	0.299550	0.300000	0.300000	0.300000	0.299850	0.282000
1000.000000	0.300000	0.300000	0.300000	0.300000	0.299850	0.189000
2500.000000	0.300000	0.300000	0.300000	0.299850	0.299850	0.057000
5000.000000	0.300000	0.300000	0.300000	0.300000	0.300000	0.000000
7500.000000	0.291000	0.300000	0.300000	0.299700	0.300000	0.000000
10000.000000	0.258000	0.198000	0.300000	0.300000	0.300000	0.000000
12500.000000	0.225000	0.207000	0.300000	0.296850	0.300000	0.000000
15000.000000	0.216000	0.237000	0.300000	0.293700	0.300000	0.000000
20000.000000	0.174000	0.192000	0.300000	0.287850	0.299850	0.000000
25000.000000	0.141000	0.198000	0.300000	0.290400	0.300000	0.000000
