exploration_budget	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
100.000000	0.080340	0.073920	0.078480	0.076800	0.082800	0.066180
250.000000	0.071160	0.077580	0.076800	0.083400	0.079200	0.049500
500.000000	0.057720	0.063120	0.073560	0.079800	0.081000	0.039300
1000.000000	0.052260	0.055020	0.075780	0.078000	0.081000	0.019200
2500.000000	0.022320	0.050820	0.073680	0.069180	0.079800	0.005280
5000.000000	0.004200	0.020100	0.074820	0.069420	0.082200	0.002580
7500.000000	0.000840	0.001680	0.072240	0.063780	0.078000	0.000900
10000.000000	0.000000	0.000000	0.074100	0.070200	0.079200	0.000000
12500.000000	0.000000	0.000000	0.073200	0.071400	0.081000	0.000000
15000.000000	0.000000	0.000000	0.071820	0.078000	0.082800	0.000000
20000.000000	0.000000	0.000000	0.072480	0.023340	0.073200	0.000000
25000.000000	0.000000	0.000000	0.070560	0.034560	0.080400	0.000000
100000.000000	0.000000	0.000000	0.068220	0.025620	0.079800	0.000000
