exploration_budget	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
100.000000	0.299400	0.300000	0.300000	0.289800	0.293400	0.264000
250.000000	0.297000	0.285000	0.288000	0.298800	0.296400	0.135000
500.000000	0.213000	0.165000	0.291000	0.293400	0.295200	0.060000
1000.000000	0.126000	0.096000	0.291000	0.230400	0.295200	0.006000
2500.000000	0.006000	0.030000	0.291000	0.058200	0.291600	0.000000
5000.000000	0.000000	0.012000	0.282000	0.038400	0.294600	0.000000
7500.000000	0.000000	0.003000	0.288000	0.030000	0.295800	0.000000
10000.000000	0.000000	0.000000	0.282000	0.022200	0.295800	0.000000
12500.000000	0.000000	0.000000	0.279000	0.016800	0.295800	0.000000
15000.000000	0.000000	0.000000	0.279000	0.016200	0.296400	0.000000
20000.000000	0.000000	0.000000	0.282000	0.000000	0.294000	0.000000
25000.000000	0.000000	0.000000	0.288000	0.000000	0.294600	0.000000
100000.000000	0.000000	0.000000	0.294000	0.000000	0.297600	0.000000
