num_intermediate_contexts	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
2.000000	0.000150	0.000000	0.101850	0.011100	0.121350	0.000150
4.000000	0.000000	0.000000	0.081150	0.076275	0.093750	0.000000
6.000000	0.001500	0.006750	0.066150	0.066550	0.072000	0.000300
8.000000	0.010200	0.040163	0.055650	0.058312	0.061875	0.000300
10.000000	0.031650	0.043890	0.053940	0.054660	0.056400	0.002070
12.000000	0.034275	0.046200	0.049725	0.050225	0.052000	0.003300
14.000000	0.042814	0.044850	0.049286	0.048000	0.049071	0.003986
16.000000	0.041981	0.043594	0.046706	0.046500	0.046875	0.005812
18.000000	0.043200	0.045000	0.045000	0.043683	0.044500	0.006150
20.000000	0.041775	0.039315	0.042675	0.043500	0.043500	0.011385
25.000000	0.039648	0.039984	0.040692	0.040680	0.040800	0.012852
50.000000	0.035400	0.035340	0.035292	0.035184	0.035400	0.027378
100.000000	0.032670	0.032292	0.032646	0.032592	0.032700	0.031152
