num_intermediate_contexts	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
2.000000	0.000000	0.000000	0.180000	0.000000	0.253500	0.000000
4.000000	0.000000	0.000000	0.270000	0.003000	0.294000	0.000000
6.000000	0.000000	0.003000	0.294000	0.029000	0.297000	0.000000
8.000000	0.003000	0.048000	0.300000	0.074250	0.298875	0.000000
10.000000	0.018000	0.114000	0.300000	0.104400	0.299700	0.000000
12.000000	0.072000	0.141000	0.300000	0.257000	0.299750	0.000000
14.000000	0.123000	0.147000	0.300000	0.254571	0.299571	0.000000
16.000000	0.174000	0.171000	0.300000	0.287250	0.300000	0.000000
18.000000	0.240000	0.207000	0.300000	0.296500	0.300000	0.000000
20.000000	0.264000	0.240000	0.300000	0.299700	0.300000	0.000000
25.000000	0.300000	0.300000	0.300000	0.299880	0.300000	0.000000
50.000000	0.300000	0.300000	0.300000	0.300000	0.300000	0.021000
100.000000	0.300000	0.300000	0.300000	0.300000	0.300000	0.123000
